"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","0","30","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","0","15","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","21","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","0","77","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","0","635","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","0","2","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","0","2","1","0.000000","0","0"
"/MixedRealityCaptureFramework/M_GarbageMatte.M_GarbageMatte","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","24","0","15","1","0.000000","0","0"
"/MixedRealityCaptureFramework/M_MrcVideoProcessing.M_MrcVideoProcessing","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","0","30","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","0","2","1","0.000000","0","0"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","24","0","15","1","0.000000","0","0"
"/OculusVR/Materials/touchController_mat.touchController_mat","24","0","30","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","0","2","1","0.000000","0","0"
"/OpenXR/Devices/M_XRController.M_XRController","24","0","45","3","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","0","2","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","0","44","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","0","104","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","0","195","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","24","0","75","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","0","240","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","24","0","2","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","0","33","2","0.000000","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","0","30","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","0","15","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","0","77","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","0","635","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","0","2","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","0","2","1","0.000000","0","0"
